,Title,Timestamp,FullText,Tags,Author,Url,politik,Narasi,Clean Narasi,hoax
0,[SALAH]: Cina menguasai Indonesia melalui IKN,"Juni 6, 2024",Hasil periksa fakta Raka.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/06/salah-cina-menguasai-indonesia-melalui-ikn/,1,Tahapan Skenario Cina Caplok Indonesia Tanpa Perang.,Tahapan Skenario Cina Caplok Indonesia Tanpa Perang.,1
1,[SALAH]: Ruben Onsu Meninggal Dunia,"Juni 6, 2024",Hasil periksa fakta Raka.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/06/salah-ruben-onsu-meninggal-dunia/,0,Kabar duka.. Innalilahi.. artis ternama Ruben Onsu telah meninggal dunia ,Kabar duka.. Innalilahi.. artis ternama Ruben Onsu telah meninggal dunia,1
2,[SALAH]: Vaksin COVID-19 picu Kanker Turbo,"Juni 6, 2024",Hasil periksa fakta Raka.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/06/salah-vaksin-covid-19-picu-kanker-turbo/,0,Pakar medis peringatkan vaksin Covid mungkin memicu turbo kanker,Pakar medis peringatkan vaksin Covid mungkin memicu turbo kanker,1
3,[SALAH] Asosiasi Voli Korea Minta Megawati Hangestri Pindah Negara Usai Namanya Dicoret PBVSI dari Skuad AVC 2024,"Juni 5, 2024",Hasil periksa fakta Ainayya.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/05/salah-asosiasi-voli-korea-minta-megawati-hangestri-pindah-negara-usai-namanya-dicoret-pbvsi-dari-skuad-avc-2024/,0,“MENGEJUTKAN!!ASOSIASI VOLI TIMNAS KOREA MINTA MEGA PINDAH NEGARA USAI DI CAMPAKAN OLEH PBVSI… | ASOSIASI KOREA MINTA MEGA PINDAH NEGARA USAI MEGAWATI DI CORET PBVSI DI AVC CHALLENGE CUP 2024”,MENGEJUTKAN!!ASOSIASI VOLI TIMNAS KOREA MINTA MEGA PINDAH NEGARA USAI DI CAMPAKAN OLEH PBVSI... ASOSIASI KOREA MINTA MEGA PINDAH NEGARA USAI MEGAWATI DI CORET PBVSI DI AVC CHALLENGE CUP 2024,1
4,[SALAH] PBVSI Kirim Pemain Pelapis di AVC 2024 untuk Permalukan Indonesia,"Juni 5, 2024",Hasil periksa fakta Ainayya.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/05/salah-pbvsi-kirim-pemain-pelapis-di-avc-2024-untuk-permalukan-indonesia/,0," “DI LUAR NALAR!!LAGI” PBVSI UNGKAP ALASAN TAK MASUK AKAL USAI KIRIM PEMAIN PELAPIS DI AVC… | AMBISI PERMALUKAN INDONESIA, PBVSI KEMBALI KIRIM PEMAIN PELAPIS TIMNAS VOLI PUTRA DI AVC CHALLENGE CUP”","DI LUAR NALAR!!LAGI PBVSI UNGKAP ALASAN TAK MASUK AKAL USAI KIRIM PEMAIN PELAPIS DI AVC... AMBISI PERMALUKAN INDONESIA, PBVSI KEMBALI KIRIM PEMAIN PELAPIS TIMNAS VOLI PUTRA DI AVC CHALLENGE CUP",1
5,[SALAH] Menpora Ancam Akan Pecat Ketum PBVSI Usai Tim Voli Putri Finish di Peringkat Tujuh AVC 2024,"Juni 5, 2024",Hasil periksa fakta Ainayya.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/05/salah-menpora-ancam-akan-pecat-ketum-pbvsi-usai-tim-voli-putri-finish-di-peringkat-tujuh-avc-2024/,1,"“PBVSI KERINGAT DINGIN!!MENPORA ANCAM PECAT KETUM PBVSI USAI TIMNAS PUTRI FINIS DI POSISI 7 DI AVC… | PBVSI MASIH BUNGKAM DENGAN KESALAHANNYA, PRESTASI TERBURUK TIMNAS VOLI PUTRI INDONESIA DI AJANG AVC CHALLENGE”","PBVSI KERINGAT DINGIN!!MENPORA ANCAM PECAT KETUM PBVSI USAI TIMNAS PUTRI FINIS DI POSISI 7 DI AVC... PBVSI MASIH BUNGKAM DENGAN KESALAHANNYA, PRESTASI TERBURUK TIMNAS VOLI PUTRI INDONESIA DI AJANG AVC CHALLENGE",1
6,[SALAH] Erick Thohir Pecat Imam Sudjarwo Karena Dianggap Tidak Mampu Mengurus PBVSI,"Juni 5, 2024",Hasil periksa fakta Ainayya.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/05/salah-erick-thohir-pecat-imam-sudjarwo-karena-dianggap-tidak-mampu-mengurus-pbvsi/,1,"“MANTAP! ERIK TOHIR LANGSUNG TURUN TANGAN PANGGIL & COPOT IMAM SUDJARWO KARENA GAK BECUS URUS PBVSI? | ERICK THOHIR PECAT PBVSI, MENGEJUTKAN!”","MANTAP! ERIK TOHIR LANGSUNG TURUN TANGAN PANGGIL & COPOT IMAM SUDJARWO KARENA GAK BECUS URUS PBVSI? ERICK THOHIR PECAT PBVSI, MENGEJUTKAN!",1
7,[SALAH] SRI MULYANI DAN AHOK BERHASIL RINGKUS ORANG BESAR ISTANA,"Juni 4, 2024",Hasil periksa fakta Pekik Jalu Utomo.,Fitnah;Hasut;Hoax,Tim Kalimasada,https://turnbackhoax.id/2024/06/04/salah-sri-mulyani-dan-ahok-berhasil-ringkus-orang-besar-istana/,1,"MAMFUSSJ0K0WI PUCAT, SRI MULYANI & AHOK BERHASIL RINGKUS ORANG BESAR ISTANA INI","MAMFUSSJ0K0WI PUCAT, SRI MULYANI & AHOK BERHASIL RINGKUS ORANG BESAR ISTANA INI",1
8,[SALAH] Gambar Artikel berjudul “Menag minta masyarakat ikhlaskan Dana Haji dipakai Pemerintah untuk IKN”,"Juni 4, 2024",Hasil Periksa Fakta Luthfiyah,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/04/salah-gambar-artikel-berjudul-menag-minta-masyarakat-ikhlaskan-dana-haji-dipakai-pemerintah-untuk-ikn/,1,“Menag minta masyarakat ikhlaskan Dana Haji dipakai Pemerintah untuk IKN”,Menag minta masyarakat ikhlaskan Dana Haji dipakai Pemerintah untuk IKN,1
9,[SALAH] Rokok Kretek Lebih Aman daripada Rokok Putih,"Juni 4, 2024",Hasil Periksa Fakta Vinanda (Relawan Mafindo),Fitnah;Hasut;Hoax,Relawan Mafindo,https://turnbackhoax.id/2024/06/04/120821/,0,"Rokok Indonesia (bukan rokok putihan) (red: rokok kretek) itu sebenarnya tidak berbahaya seperti rokok putihan, dan tulisan merokok dapat menyebabkan … dst. itu hanya berlaku untuk rokok putihan, karena rokok Indonesia itu racikannya sudah mengandung ramuan yg menetralisir tar, nikotin. Adapun tulisan itu terus menerus ditulis dan dipropagandakan tujuannya adl agar rokok Indonesia tdk laku lalu pabriknya dijual ke Amerika. sehingga yg kaya nantinya kaum kapitalis asal amerika. dan sekarang pun mulai banyak pabrik yg diakuisisi oleh philip morris, dkk. salah satu dokter ditanya kenapa dia melarang pasiennya merokok, lalu dia mentok tdk bisa menjawab secara ilmiah, ujung2nya dia berkata, ini udah suruhan dari atasan saya.","Rokok Indonesia (bukan rokok putihan) (red: rokok kretek) itu sebenarnya tidak berbahaya seperti rokok putihan, dan tulisan merokok dapat menyebabkan... dst. itu hanya berlaku untuk rokok putihan, karena rokok Indonesia itu racikannya sudah mengandung ramuan yg menetralisir tar, nikotin. Adapun tulisan itu terus menerus ditulis dan dipropagandakan tujuannya adl agar rokok Indonesia tdk laku lalu pabriknya dijual ke Amerika. sehingga yg kaya nantinya kaum kapitalis asal amerika. dan sekarang pun mulai banyak pabrik yg diakuisisi oleh philip morris, dkk. salah satu dokter ditanya kenapa dia melarang pasiennya merokok, lalu dia mentok tdk bisa menjawab secara ilmiah, ujung2nya dia berkata, ini udah suruhan dari atasan saya.",1
10,[SALAH] Paket COD dari Cina Berisi Narkoba,"Juni 3, 2024",Hasil periksa fakta Evarizma Zahra.,Fitnah;Hasut;Hoax,Pemeriksa Fakta Junior,https://turnbackhoax.id/2024/06/03/salah-paket-cod-dari-cina-berisi-narkoba/,0,“HATI-HATI PAKET COD YANG MENJEBAK”,HATI-HATI PAKET COD YANG MENJEBAK,1
